Target ID	Gene Name	Measure Names	Qval Color	Number of target	Measure Values
ENSMUST00000047812	Dpp4	Apical Bias	Red	598	1.086382413
ENSMUST00000047898	Kdm2a	Apical Bias	Red	598	0.737252200
ENSMUST00000047973	Dhcr24	Apical Bias	Red	598	0.995477396
ENSMUST00000048050	Tmem45b	Apical Bias	Red	598	0.876470642
ENSMUST00000048209	Ldha	Apical Bias	Red	598	0.387880199
ENSMUST00000048615	Pnp	Apical Bias	Red	598	0.668005056
ENSMUST00000049074	Ptprf	Apical Bias	Red	598	1.620948247
ENSMUST00000049149	Lrp1	Apical Bias	Red	598	1.236661880
ENSMUST00000049150	Styk1	Apical Bias	Red	598	0.728263017
ENSMUST00000049642	Fahd1	Apical Bias	Red	598	0.526161353
ENSMUST00000049705	Zfp457	Apical Bias	Red	598	-1.060060498
ENSMUST00000049874	Agmo	Apical Bias	Red	598	1.064353290
ENSMUST00000050125	2900026A02Rik	Apical Bias	Red	598	0.654915048
ENSMUST00000051301	Pura	Apical Bias	Red	598	-0.810154508
ENSMUST00000051477	Cdc42	Apical Bias	Red	598	0.351661236
ENSMUST00000052725	Sc5d	Apical Bias	Red	598	0.825433300
ENSMUST00000053419	Lrrc19	Apical Bias	Red	598	0.665532875
ENSMUST00000053577	Epcam	Apical Bias	Red	598	0.770841823
ENSMUST00000053716	Clrn3	Apical Bias	Red	598	0.885865662
ENSMUST00000054014	Ddx17	Apical Bias	Red	598	-0.732153768
ENSMUST00000054174	Cyp4f14	Apical Bias	Red	598	0.838708826
ENSMUST00000054220	Rpl18a	Apical Bias	Red	598	-0.462449216
ENSMUST00000055719	BC025446	Apical Bias	Red	598	0.754728271
ENSMUST00000056089	Tmem37	Apical Bias	Red	598	0.684151154
ENSMUST00000056623	Tmem72	Apical Bias	Red	598	-1.048810400
ENSMUST00000057015	Slc4a7	Apical Bias	Red	598	1.474208871
ENSMUST00000057320	Tmc5	Apical Bias	Red	598	0.761913380
ENSMUST00000057557	Mcmbp	Apical Bias	Red	598	0.543009293
ENSMUST00000059037	Trim12c	Apical Bias	Red	598	-1.308386845
ENSMUST00000059138	Prr15	Apical Bias	Red	598	0.373452489
ENSMUST00000059449	Ces2b	Apical Bias	Red	598	-0.601219062
ENSMUST00000059787	Dsg2	Apical Bias	Red	598	0.937529228
ENSMUST00000060404	Tor1aip2	Apical Bias	Red	598	0.805501076
ENSMUST00000061093	Slc30a10	Apical Bias	Red	598	0.536641326
ENSMUST00000063040	Minos1	Apical Bias	Red	598	0.553199919
ENSMUST00000063918	Sp8	Apical Bias	Red	598	0.556168255
ENSMUST00000064231	Mogat2	Apical Bias	Red	598	0.592724983
ENSMUST00000066723	Lgals4	Apical Bias	Red	598	-0.488566219
ENSMUST00000067215	Arfgap3	Apical Bias	Red	598	0.794049528
ENSMUST00000067246	Slc30a5	Apical Bias	Red	598	0.791674643
ENSMUST00000067880	Adam10	Apical Bias	Red	598	1.077286608
ENSMUST00000068044	Slc39a14	Apical Bias	Red	598	0.575843908
ENSMUST00000068603	Iqgap2	Apical Bias	Red	598	-0.581976110
ENSMUST00000070080	B4galt6	Apical Bias	Red	598	0.318373101
ENSMUST00000070166	Gramd3	Apical Bias	Red	598	0.761529029
ENSMUST00000070524	Tgoln1	Apical Bias	Red	598	0.793962994
ENSMUST00000070597	Retsat	Apical Bias	Red	598	0.920949925
ENSMUST00000071219	Treh	Apical Bias	Red	598	1.080352904
ENSMUST00000071402	Elovl6	Apical Bias	Red	598	0.843618809
ENSMUST00000071874	Ano6	Apical Bias	Red	598	0.835726368
ENSMUST00000072061	Entpd5	Apical Bias	Red	598	1.116998565
ENSMUST00000072438	Cyp2b10	Apical Bias	Red	598	1.009234612
ENSMUST00000073339	Pgrmc1	Apical Bias	Red	598	0.699109487
ENSMUST00000073428	Slc39a4	Apical Bias	Red	598	0.893760602
ENSMUST00000073490	Lct	Apical Bias	Red	598	1.863466241
ENSMUST00000073787	Akr7a5	Apical Bias	Red	598	0.721663554
ENSMUST00000073973	Ace2	Apical Bias	Red	598	1.419069863
ENSMUST00000074651	Grk4	Apical Bias	Red	598	-0.901491830
ENSMUST00000075573	Gm10717	Apical Bias	Red	598	-1.272852948
ENSMUST00000076730	Gm1123	Apical Bias	Red	598	0.542394173
ENSMUST00000077517	Tmem236	Apical Bias	Red	598	0.485479283
ENSMUST00000078804	Rpl35a	Apical Bias	Red	598	-0.549608118
ENSMUST00000078939	Ccdc34	Apical Bias	Red	598	-1.569069012
ENSMUST00000079568	Gm10025	Apical Bias	Red	598	-0.977112162
ENSMUST00000079791	Pcyt1a	Apical Bias	Red	598	0.376747534
ENSMUST00000080065	Slc27a4	Apical Bias	Red	598	0.966450200
ENSMUST00000080654	Cdhr5	Apical Bias	Red	598	0.694449800
ENSMUST00000080726	Gm10040	Apical Bias	Red	598	-0.759673176
ENSMUST00000080975	Os9	Apical Bias	Red	598	0.733065662
ENSMUST00000081079	Entpd7	Apical Bias	Red	598	1.032061261
ENSMUST00000081435	H2-Q4	Apical Bias	Red	598	-0.769791233
ENSMUST00000081840	Rpl32	Apical Bias	Red	598	-0.683200599
ENSMUST00000082235	Mep1b	Apical Bias	Red	598	1.313509061
ENSMUST00000082407	mt-Atp8	Apical Bias	Red	598	0.583115277
ENSMUST00000082424	Sepp1	Apical Bias	Red	598	0.636093831
ENSMUST00000084124	Pgd	Apical Bias	Red	598	0.509035088
ENSMUST00000084526	Slc31a1	Apical Bias	Red	598	0.597414210
ENSMUST00000084820	Golga4	Apical Bias	Red	598	-0.958746200
ENSMUST00000085701	Tecpr1	Apical Bias	Red	598	0.426001970
ENSMUST00000086764	Rps12-ps3	Apical Bias	Red	598	-1.029395766
ENSMUST00000087236	Cyp2c65	Apical Bias	Red	598	0.769838171
ENSMUST00000087600	Gda	Apical Bias	Red	598	-0.828013648
ENSMUST00000088386	Slc15a1	Apical Bias	Red	598	1.031270811
ENSMUST00000090006	Itgb1	Apical Bias	Red	598	0.711132985
ENSMUST00000090195	Gm11027	Apical Bias	Red	598	-1.495110698
ENSMUST00000090227	March6	Apical Bias	Red	598	0.909680477
ENSMUST00000090300	Marf1	Apical Bias	Red	598	0.535692046
ENSMUST00000091355	Tpd52	Apical Bias	Red	598	0.379329027
ENSMUST00000091668	Serpinb1a	Apical Bias	Red	598	0.595887965
ENSMUST00000092566	Slc16a10	Apical Bias	Red	598	1.376727397
ENSMUST00000093490	Clcn3	Apical Bias	Red	598	1.082370461
ENSMUST00000093800	Pls1	Apical Bias	Red	598	0.350812983
ENSMUST00000094245	Cldn3	Apical Bias	Red	598	0.708776745
ENSMUST00000094695	Rmdn3	Apical Bias	Red	598	0.644711774
ENSMUST00000095062	Lmbrd1	Apical Bias	Red	598	0.535263621
ENSMUST00000095328	Cyp4v3	Apical Bias	Red	598	1.099527662
ENSMUST00000095550	Syndig1l	Apical Bias	Red	598	0.485556030
ENSMUST00000096119	Asah2	Apical Bias	Red	598	0.642839298
ENSMUST00000098324	Mc1r	Apical Bias	Red	598	0.592500250
ENSMUST00000098549	Clca4b	Apical Bias	Red	598	1.479567959
ENSMUST00000098666	Ceacam1	Apical Bias	Red	598	1.060844439
ENSMUST00000098768	AI593442	Apical Bias	Red	598	0.455015381
ENSMUST00000098874	Gm21750	Apical Bias	Red	598	-1.039983463
ENSMUST00000099042	Gm10717	Apical Bias	Red	598	-1.379839231
ENSMUST00000099046	Gm10718	Apical Bias	Red	598	-1.342564872
ENSMUST00000099047	Gm10719	Apical Bias	Red	598	-1.333399205
ENSMUST00000099049	Gm10719	Apical Bias	Red	598	-1.331516979
ENSMUST00000099050	Gm10720	Apical Bias	Red	598	-1.467997196
ENSMUST00000099056	Gm10717	Apical Bias	Red	598	-1.261354037
ENSMUST00000099459	Gm10780	Apical Bias	Red	598	-1.234737176
ENSMUST00000099472	Cyp2c68	Apical Bias	Red	598	0.842983075
ENSMUST00000099547	Fam8a1	Apical Bias	Red	598	0.659156606
ENSMUST00000099696	Cd82	Apical Bias	Red	598	0.535990097
ENSMUST00000099946	Net1	Apical Bias	Red	598	-2.007437889
ENSMUST00000100171	Hspa5	Apical Bias	Red	598	0.561988113
ENSMUST00000100497	Actb	Apical Bias	Red	598	0.263170446
ENSMUST00000101225	Psen1	Apical Bias	Red	598	0.901666037
ENSMUST00000101295	9930111J21Rik2	Apical Bias	Red	598	-1.193248230
ENSMUST00000102694	Ptgfrn	Apical Bias	Red	598	0.773435426
ENSMUST00000102874	Mdh1	Apical Bias	Red	598	0.348923489
ENSMUST00000102973	Aco1	Apical Bias	Red	598	0.565114706
ENSMUST00000102998	Nkain3	Apical Bias	Red	598	-1.310766163
ENSMUST00000103146	Rpl23	Apical Bias	Red	598	-0.945165038
ENSMUST00000103212	Ube4b	Apical Bias	Red	598	0.618606659
ENSMUST00000105322	Smim24	Apical Bias	Red	598	0.469122351
ENSMUST00000105381	Bsg	Apical Bias	Red	598	0.431822026
ENSMUST00000105608	Slc35e2	Apical Bias	Red	598	0.441886993
ENSMUST00000106543	Otop3	Apical Bias	Red	598	0.529055526
ENSMUST00000106545	Cyp4x1	Apical Bias	Red	598	-1.057716743
ENSMUST00000106588	Rps15a	Apical Bias	Red	598	-1.721568849
ENSMUST00000106888	Olfr613	Apical Bias	Red	598	-0.841086696
ENSMUST00000106899	Cxcr2	Apical Bias	Red	598	-1.247495607
ENSMUST00000107022	Hsd3b2	Apical Bias	Red	598	-1.423134410
ENSMUST00000107392	Anpep	Apical Bias	Red	598	1.509164848
ENSMUST00000107651	Slc44a1	Apical Bias	Red	598	0.891093871
ENSMUST00000107739	Itga3	Apical Bias	Red	598	0.983051884
ENSMUST00000108546	Zfp329	Apical Bias	Red	598	-0.512642219
ENSMUST00000108569	Vmn1r58	Apical Bias	Red	598	-0.822606587
ENSMUST00000108596	Cldn7	Apical Bias	Red	598	0.435434310
ENSMUST00000108826	Lypd8	Apical Bias	Red	598	0.558782078
ENSMUST00000109104	Maf	Apical Bias	Red	598	0.383241623
ENSMUST00000109177	Atp9a	Apical Bias	Red	598	1.256821858
ENSMUST00000109249	Sulf2	Apical Bias	Red	598	0.792432254
ENSMUST00000109260	Clint1	Apical Bias	Red	598	0.755281927
ENSMUST00000109410	Ces2e	Apical Bias	Red	598	1.057320635
ENSMUST00000109542	Gm17132	Apical Bias	Red	598	-1.230155973
ENSMUST00000109605	Atf4	Apical Bias	Red	598	-0.662105506
ENSMUST00000109867	Znrf3	Apical Bias	Red	598	0.426774944
ENSMUST00000110325	Tmem87b	Apical Bias	Red	598	0.657898450
ENSMUST00000110391	Cmah	Apical Bias	Red	598	-1.089096607
ENSMUST00000110731	Kdelr2	Apical Bias	Red	598	0.728983683
ENSMUST00000110855	Lpgat1	Apical Bias	Red	598	0.555590504
ENSMUST00000111820	Tmppe	Apical Bias	Red	598	-0.456336602
ENSMUST00000111994	Ncoa4	Apical Bias	Red	598	0.916856765
ENSMUST00000112172	Tmsb4x	Apical Bias	Red	598	-1.685383013
ENSMUST00000112533	Ly75	Apical Bias	Red	598	0.987432473
ENSMUST00000112606	Dpp10	Apical Bias	Red	598	-1.172759680
ENSMUST00000112707	Lrrc8b	Apical Bias	Red	598	0.883878475
ENSMUST00000113027	Rnf128	Apical Bias	Red	598	0.684225695
ENSMUST00000113139	Ugt1a8	Apical Bias	Red	598	1.297626847
ENSMUST00000113270	Alpi	Apical Bias	Red	598	0.954787487
ENSMUST00000113402	Gm7609	Apical Bias	Red	598	-0.936669593
ENSMUST00000113742	Gm11127	Apical Bias	Red	598	0.870117370
ENSMUST00000114313	Cflar	Apical Bias	Red	598	-0.473025299
ENSMUST00000114988	Fam234a	Apical Bias	Red	598	0.928566834
ENSMUST00000115821	Gm10563	Apical Bias	Red	598	-1.049066068
ENSMUST00000117085	Abhd17c	Apical Bias	Red	598	0.477302537
ENSMUST00000117205	Gm13423	Apical Bias	Red	598	0.474701974
ENSMUST00000117422	Creb3l3	Apical Bias	Red	598	0.592287743
ENSMUST00000117964	Gm13722	Apical Bias	Red	598	-0.911208375
ENSMUST00000118155	Sumo2	Apical Bias	Red	598	-0.506070910
ENSMUST00000118487	Fam234a	Apical Bias	Red	598	1.316266828
ENSMUST00000118539	Cth	Apical Bias	Red	598	0.768606284
ENSMUST00000118969	Slc7a9	Apical Bias	Red	598	0.519218762
ENSMUST00000119880	Gm15807	Apical Bias	Red	598	-1.610355218
ENSMUST00000120690	Tmem30a	Apical Bias	Red	598	0.855326235
ENSMUST00000120764	Gm5742	Apical Bias	Red	598	0.543231051
ENSMUST00000121465	Fuca2	Apical Bias	Red	598	1.084656763
ENSMUST00000121552	Gm6480	Apical Bias	Red	598	-0.733971385
ENSMUST00000121772	Gm14735	Apical Bias	Red	598	-1.072694696
ENSMUST00000122113	Por	Apical Bias	Red	598	0.838919997
ENSMUST00000122379	Gm11434	Apical Bias	Red	598	0.655679545
ENSMUST00000123495	Haus8	Apical Bias	Red	598	-0.792690792
ENSMUST00000124114	Car9	Apical Bias	Red	598	0.705939382
ENSMUST00000124121	Adam22	Apical Bias	Red	598	0.584012575
ENSMUST00000124269	Nox4	Apical Bias	Red	598	-1.254081352
ENSMUST00000124659	Jup	Apical Bias	Red	598	0.468471238
ENSMUST00000125122	Zzef1	Apical Bias	Red	598	0.503148514
ENSMUST00000125550	Slc35c2	Apical Bias	Red	598	0.508842313
ENSMUST00000125835	Myo15b	Apical Bias	Red	598	0.690879878
ENSMUST00000126787	Itga6	Apical Bias	Red	598	0.823671615
